,id,text
28,1450891638620966915,"Grab your web shooters and get ready for a journey to the platinum trophy in Marvel's Spider-Man tonight at 8:00 pm et, only at https://t.co/kFXGJCT51i 

#Spiderman2 #SpiderMan #Marvel"
29,1450886774599860231,"There is less than 2 months until the release of #SpiderManNoWayHome...
Will you watch it on the first day it releases?

#SpiderMan #Spiderman2 #SpiderMan3 #TobeyMaguire #TomHolland #MarvelStudios"
30,1450883022543273989,Check out what I just listed on Mercari. Tap the link to sign up and get up to $30 off. https://t.co/0W9SD5PYtW SPIDER MAN 2 FOR YOUR CONSIDERATION VHS TAPE! #spiderman #vhs #retro #vintage #classic #buy #shop #mercari #share #Spiderman2 #fyc #rare #movie #RetweeetPlease #art
31,1450864364609839104,I was kinda hoping there would be some element of that in #SpiderMan2 seems to be a Peter/Miles game
32,1450864197793845254,"Spiderman!! #Spiderman @TobeyMaguire #Spiderman2
#Marvel #marvelstudio https://t.co/to46MBPp0Z"
33,1450862559603707905,"Remembering #BillNunn October 20,1953_September 24,2016 (Age 62) #Spiderman #Spiderman2 #Spiderman3 #TheJob #Sirens https://t.co/l5xzrtNXu9"
34,1450860996499853319,Check out Spider Man 2 Storybook 48 Album Stickers Packs Panini 2004 Unopened NEW  https://t.co/3G5pm9uP64 via @eBay #spiderman #marvel #marvelcomics #disney #disneyplus #Sony  #spiderman2 #storybook #SamRaimi #stickers #tradingcards #Panini #ebay #ebayfinds
35,1450858993333723136,THWIP! Our friends at @ircbpodcast have a new episode out about the influence of the iconic Spider-Man 2 film! Get your tentacles on this one! #podcast #comics #Spiderman2 https://t.co/RIZyX0K4D9
36,1450844099569930252,@MarvelGamesVP hello friend how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and share it💪🏻💯 #InsomniacGames #Spiderman2 #SpidermanPS5 https://t.co/HwhOyPUS1k
37,1450818822622089223,@unpacklo hello dale how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it is him 2023 #SpidermanPS5 #Spiderman2 #InsomniacGames https://t.co/dtRByKyQ8M
